BG13816	BA_2712
BG13409	BA_3959
BG13814	BA_4642
BG13815	BA_4645
BG13812	BA_4613
BG13813	BA_4627
BG13366	BA_4063
BG13408	BA_3961
BG13368	BA_4060
BG13400	BA_3992
BG13402	BA_3981
BG13405	BA_3976
BG13404	BA_3980
BG12541	BA_0915
BG13819	BA_2914
BG13566	BA_0624
BG13567	BA_0623
BG13565	BA_5139
BG13562	BA_5154
BG12461	BA_5617
BG10649	BA_3428
BG11668	BA_4503
BG11667	BA_4506
BG11666	BA_4507
BG11665	BA_4508
BG11664	BA_4509
BG12449	BA_5432
BG11662	BA_4511
BG11661	BA_4512
BG11660	BA_4513
BG10619	BA_1231
BG12263	BA_3837
BG13490	BA_3535
BG11717	BA_2528
BG10754	BA_1292
BG12267	BA_2079
BG12264	BA_3835
BG10757	BA_0119
BG10758	BA_0120
BG12142	BA_5056
BG12898	BA_4348
BG12146	BA_3303
BG12145	BA_3302
BG12144	BA_5191
BG13799	BA_4603
BG13798	BA_4605
BG11428	BA_1502
BG12559	BA_2775
BG13369	BA_4059
BG13791	BA_4618
BG13793	BA_4612
BG13792	BA_4614
BG13795	BA_4610
BG13794	BA_4611
BG13797	BA_4606
BG13796	BA_4609
BG10682	BA_5112
BG10683	BA_5111
BG12180	BA_1758
BG12544	BA_0331
BG10686	BA_5109
BG13363	BA_4137
BG10685	BA_5110
BG10688	BA_4748
BG12542	BA_3266
BG13315	BA_1362
BG13911	BA_4298
BG13311	BA_2012
BG12380	BA_1257
BG13313	BA_1360
BG13312	BA_1359
BG10717	BA_4024
BG10520	BA_4333
BG11644	BA_4537
BG11937	BA_4004
BG11935	BA_4760
BG11934	BA_4759
BG13225	BA_1472
BG11932	BA_2610
BG11931	BA_1756
BG12319	BA_1310
BG13229	BA_0397
BG12317	BA_4815
BG13384	BA_4012
BG12315	BA_3615
BG13382	BA_1447
BG13383	BA_4013
BG12310	BA_2720
BG13381	BA_1446
BG11649	BA_4533
BG10727	BA_0101
BG10726	BA_0100
BG10720	BA_4021
BG10723	BA_0489
BG10722	BA_1154
BG12460	BA_5619
BG10729	BA_0103
BG10728	BA_0102
BG10429	BA_1070
BG13563	BA_2083
BG11487	BA_0641
BG12964	BA_5678
BG12967	BA_5621
BG12614	BA_1801
BG12613	BA_1038
BG12960	BA_2073
BG12963	BA_2109
BG12610	BA_0620
BG11524	BA_4341
BG11525	BA_4336
BG11526	BA_4340
BG13561	BA_1402
BG12969	BA_2164
BG12968	BA_3883
BG11522	BA_4561
BG12618	BA_5014
BG11245	BA_3912
BG11244	BA_5572
BG11247	BA_3744
BG11246	BA_5463
BG11241	BA_2371
BG11240	BA_3727
BG11243	BA_2372
BG11242	BA_2369
BG11799	BA_0805
BG12972	BA_0818
BG11249	BA_3742
BG11248	BA_3743
BG12973	BA_5658
BG10941	BA_5561
BG10940	BA_5567
BG10943	BA_5559
BG10942	BA_5560
BG10945	BA_5557
BG12606	BA_1424
BG10829	BA_3984
BG10949	BA_3183
BG10827	BA_5369
BG12607	BA_1047
BG10822	BA_5546
BG10820	BA_5548
BG10821	BA_5547
BG13387	BA_4008
BG10466	BA_1142
BG13864	BA_0747
BG11098	BA_2144
BG11631	BA_3431
BG11798	BA_5300
BG10467	BA_2359
BG13863	BA_5049
